Review Text
Excellent Movie. Everybody acted well in the movie. Songs and BGM in the movie were excellent. The movie was so interesting and thrilling. This is the Best Tamil Movie of 2021. Excellent Movie.
The film is based on true story which was happened 28 years ago.
"Despite given an 'A' rating for its strong content, the film was real and brutal what we see it is similar to Visaranai and Kavalthurai Ungal Nanban. This is one of the best and powerful legal films. Thus, it's a must.watch."
"The best movie i have seen in a long time. This movie should be send to Oscar , cause it really deserves an oscar for the wonderful performance . Really brilliant cast and directions .."
One of the best movies. Suriya's best. This movie is based on true incident that happened in 1995. True incident movies might come out like a documentary but here the director managed it well and movie came well and its very interesting to watch. It's a movie of 2.5 hrs but we don't get boring.
RATED 10/10 Language: Tamil Source: Amazon Prime RECOMMENDED
"Tribal life and their rights are cleverly delivered...at some point i forgot that i am watching movie and seeing their pain in real. The cast and locations are so real...The court room drama and the flashbacks are well balanced and at end credits makes the awe... Kudos to Jo and Surya for producing this movie... At any point this movie could become a documentary, but director brilliantly maintained the mainstream movie entertainment throughout the story telling.... Another big advantage is that you will never feel the preaching/advising tone and it is not biased."
"It delivers the same pain and feeling of the movie ""Visaranai"".... Must watch."
Its must watch ..had hitting real story based story with amazing story and cinematography. Its amazing and mind blowing the writing and acting of evry one is just another level ..its a overall another level movie a another gem by gem surya sir.
Very excellent Film After soorori Pottru another masterpiece from surya.
The film has an excellent story plot with good character's sketch The film successfully narrates the realistic lives in india.
"This movie is much needed movie which raises questions on police, custody murders and casteism. Nowadays, South India Cinema is giving us much better movies than bollywood."
"Story was good, pacing and execution was also good but could have been little bit better, acting was also good (nothing looked fake or forced). Not adding songs in the movie was best choice, that could have ruined the movie. This movie was different than bollywood's legal case stories which have masala, songs and overacting."
"Overall, will recommend this to everyone. You must give it a try."
This was one of the best movies I have watched in recent years.. that too based on true facts.
"Casting, Story, Acting, Direction every small thing made a masterstroke here."
Surya as leading actor lawyer and Lijo Mol Jose as Sengoni made a remarkable and splending performance.
Bollywood should learn from this type of movies.. or will just make a remake of same with lowest performance with high budget !!!
"Once again, was very sad on checking the true facts which the movie brought in front with remarkable drama. Hats-off to all actors."
I'm not a native tamil speaker but I had seen the film trailer which had intrigued me.
This film is what I call raw hitting. It hits where it hurts the cast did a great job the casting director did better job of finding such cast.
The direction of this film is very grounded it never feels like cliche so does the acting of all cast member.
The cinematography of the Film is very simple which gives it more of an indie film vibe .
As an Indian you should definitely watch this film because I haven't seen more important film than this in a decade.
"I was so shocked to see the movie. Its one of the best movies ever made in India but then because its a true story, i tried to search more about it and then i realized that the film makers altered the facts which is entirely disrespectful. They changed the religion of the main culprit. He was a Christian and they showed him Hindu. Also there are few changes in the story. I'm sorry. Please don't believe everything you see in the movie."
"Jai Bhim turned out to be a hard-hitting, raw and powerful court-room drama. The purpose of cinema is not just to entertain but also educate and empower the audience. The courtroom drama based movies are always engaging as the prosecutor and defendant both fight to solve the case with solid evidences and innumerable witnesses."
"Bollywood Films like ""Damini"", ""Jolly LLB"",""Talvar"" ""Rustom"", ""Pink"" or even ""Section 375"" have been immensely successful in keeping the audience engaged with impeccable dialogues and fantastic screenplay but what makes Jai Bhim different is the beautiful message on morality and equality of a tribal woman who fights for the justice of her husband."
"Jai Bhim is based on 1995 Habeas Corpus petition in which human right activist cum lawyer K. Chandru ( played by Suriya ), who takes up the case of Irular tribe couple (Rajakannu and Sengeni) where the husband is wrongly convicted by local police for stealing ornaments from village head's house."
"As Jai Bhim opens, we see that cops segregating the prisoners based on their caste. Among all the caste, the tribal people becomes the easy target for the cops to clear the pending cases under the influence of their political head. We also see how Rajakannu, the main accused in the jewelry case, is forcibly taken away from his family. The film goes back in the flashback mode where life of the tribal couple is beautiful in the serene village where they hone the skills of catching rat for their bosses. As their life progresses, in one of the event Rajakannu and his brothers are caught for the crime which they did not commit. They go through extreme level of police harassment and torture which will be very hard to digest and is completely raw. Enter Chandra a.k.a Suriya who takes up the case when Sengeni narrates the entire incident and request to help find her husband who as per police, has been absconding from the jail."
Jai Bhim is one such hair-raising film which is definitely difficult to digest as it gives you goosebumps and eye-popping experience. Screenplay is the hero with nail-biting moments. Art direction is fine while Cinematography is excellent. Suriya is a knight in shining armor. Watch out for him in the second half when he questions the witnesses in the courtroom. It is unforgettable performance which should be lauded for its sheer brilliance. Among the actors - Manikandan and Lijomol Jose are mind-blowing with their natural performances. Prakash Raj does well as IG.
"Jai Bhim is an experience that needs to be lauded for its impeccable direction, electrifying performances and beautiful message. Excellent 4/5."
"We know that this movie is based on a true events. Hats off to Suriya for choosing this kind of a role. What an outstanding performer he is. Rajakannu and his wife that two characters oh my goodness, every single scenes the performance of both 👏 wowwww. I'm damn sure that this movie will take all the awards this year. Don't miss this gem of a movie."
"Turns out, the movie is based on a real-life incident from 1993."
"In times when being a policeman is mostly glorified in Indian cinema, I wasn't expecting a movie about police brutality, something that's usually swept under the rugs, which makes this an important film in Tamil film industry and thanks to streaming services, in Indian Cinema."
"The storytelling does a great job of making you care enough for Rajakannu and Sengani (both brilliantly played, with Lijomol being the show stealer in this movie) that you empathize with them throughout the movie. Parts of the movie were brutal and hard to watch, don't be surprised if you find yourself shouting ""Okay that's enough! STOP!"" at the events that unfold. Suriya and Prakash Raj play their respective roles with just enough intensity, nothing over the top with this one. Acting by all of the support cast was very well done."
"As much as this film is about police brutality, this is also about casteism, which is still prevalent in our great country. Movies, both good and bad ones, in the past on this topic have been made, but you can tell if the script is trying too hard to highlight the caste system. This one, I thought, did it just right and didn't overdo it."
"If you HAVE to, you can find things wrong with the movie - some cinematic liberty, the ""comedic"" elements, some ""mass moments"", were all necessary IMO. That said, this isn't the kind of movie you find flaws in, but the kind that you watch, and learn and grown from as a person. So, I'd request that you simply appreciate the filmmaking, empathize with the characters and learn a thing or two takeaways for real life."
